5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/19/2021 0:00,0,74.80,0,71.00,27,67.40,23,62.80,50,65.30,4,100.00
10/19/2021 0:05,0,74.80,0,71.00,28,67.10,33,62.20,61,64.40,4,100.00
10/19/2021 0:10,0,74.80,0,71.00,35,67.40,41,63.50,76,65.30,4,100.00
10/19/2021 0:15,0,74.80,0,71.00,18,67.50,31,63.10,49,64.70,4,100.00
10/19/2021 0:20,0,74.80,0,71.00,36,67.20,24,62.80,60,65.40,4,100.00
10/19/2021 0:25,0,74.80,0,71.00,22,67.30,29,61.50,51,64.00,4,100.00
10/19/2021 0:30,0,74.80,0,71.00,19,67.50,25,62.60,44,64.70,4,100.00
10/19/2021 0:35,0,74.80,0,71.00,30,67.20,22,62.40,52,65.20,4,100.00
10/19/2021 0:40,0,74.80,0,71.00,33,66.90,27,57.50,60,62.70,4,100.00
10/19/2021 0:45,0,74.80,0,71.00,26,66.90,35,60.90,61,63.50,4,100.00
10/19/2021 0:50,0,74.80,0,71.00,22,67.10,24,60.50,46,63.70,4,100.00
10/19/2021 0:55,0,74.80,0,71.00,12,67.00,20,61.80,32,63.80,4,100.00
10/19/2021 1:00,0,74.80,0,71.00,18,67.20,17,62.70,35,65.00,4,100.00
10/19/2021 1:05,0,74.80,0,71.00,13,67.30,22,62.80,35,64.50,4,100.00
10/19/2021 1:10,0,74.80,0,71.00,15,67.30,20,63.30,35,65.00,4,100.00
10/19/2021 1:15,0,74.80,0,71.00,16,67.50,16,62.90,32,65.20,4,100.00
10/19/2021 1:20,0,74.80,0,71.00,8,67.40,16,63.10,24,64.50,4,100.00
10/19/2021 1:25,0,74.80,0,71.00,9,67.40,20,63.70,29,64.80,4,100.00
10/19/2021 1:30,1,74.10,0,71.00,10,67.50,16,63.40,27,65.30,4,100.00
10/19/2021 1:35,0,74.10,0,71.00,22,66.70,21,63.10,43,64.90,4,100.00
10/19/2021 1:40,0,74.10,0,71.00,25,65.80,25,61.30,50,63.50,4,100.00
10/19/2021 1:45,0,74.10,0,71.00,14,66.60,24,62.40,38,63.90,4,100.00
10/19/2021 1:50,0,74.10,0,71.00,20,67.10,27,63.70,47,65.10,4,100.00
10/19/2021 1:55,0,74.10,0,71.00,21,67.30,21,58.80,42,63.00,4,100.00
10/19/2021 2:00,0,74.10,0,71.00,13,66.90,8,61.00,21,64.70,4,100.00
10/19/2021 2:05,1,73.70,0,71.00,5,67.20,16,62.10,22,63.80,4,100.00
10/19/2021 2:10,0,73.70,0,71.00,7,66.90,17,62.70,24,63.90,4,100.00
10/19/2021 2:15,0,73.70,0,71.00,6,67.30,13,62.70,19,64.20,4,100.00
10/19/2021 2:20,0,73.70,0,71.00,9,67.50,10,63.10,19,65.20,4,100.00
10/19/2021 2:25,0,73.70,0,71.00,9,67.40,12,62.90,21,64.80,4,100.00
10/19/2021 2:30,0,73.70,0,71.00,4,67.50,16,62.30,20,63.30,4,100.00
10/19/2021 2:35,0,73.70,0,71.00,6,67.70,7,62.80,13,65.10,4,100.00
10/19/2021 2:40,0,73.70,0,71.00,7,67.70,9,62.90,16,65.00,4,100.00
10/19/2021 2:45,0,73.70,0,71.00,12,67.40,13,62.00,25,64.60,4,100.00
10/19/2021 2:50,0,73.70,2,66.50,2,67.50,9,61.90,13,63.50,4,100.00
10/19/2021 2:55,0,73.70,3,68.70,14,67.30,7,62.20,24,66.00,4,100.00
10/19/2021 3:00,0,73.70,2,69.80,5,66.90,6,62.70,13,65.40,4,100.00
10/19/2021 3:05,0,73.70,3,70.40,12,67.30,10,63.00,25,66.00,4,100.00
10/19/2021 3:10,0,73.70,3,70.60,9,67.50,6,62.70,18,66.40,4,100.00
10/19/2021 3:15,0,73.70,2,70.80,11,67.50,7,62.40,20,66.00,4,100.00
10/19/2021 3:20,1,74.00,1,70.80,8,67.70,4,62.70,14,66.90,4,100.00
10/19/2021 3:25,0,74.00,5,70.90,13,67.10,10,61.60,28,65.80,4,100.00
10/19/2021 3:30,0,74.00,3,70.90,11,66.90,9,62.50,23,65.70,4,100.00
10/19/2021 3:35,0,74.00,7,70.90,13,66.50,12,62.70,32,66.00,4,100.00
10/19/2021 3:40,0,74.00,4,71.00,7,66.80,9,62.40,20,65.70,4,100.00
10/19/2021 3:45,0,74.00,4,71.10,20,66.80,7,62.90,31,66.50,4,100.00
