5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/5/2021 0:00,32,70.40,42,66.60,37,62.40,31,59.90,142,64.90,4,0.00
10/5/2021 0:05,26,70.20,37,66.40,29,62.10,25,59.70,117,64.80,4,0.00
10/5/2021 0:10,32,70.00,42,66.40,37,62.10,31,59.40,142,64.60,4,0.00
10/5/2021 0:15,19,70.10,28,66.50,27,62.20,25,59.50,99,64.30,4,0.00
10/5/2021 0:20,16,70.20,28,66.40,25,62.10,22,59.60,91,64.30,4,0.00
10/5/2021 0:25,25,70.00,34,66.40,28,62.10,25,59.40,112,64.50,4,0.00
10/5/2021 0:30,24,69.60,33,65.80,28,61.50,25,59.10,110,64.00,4,0.00
10/5/2021 0:35,27,69.40,38,65.70,30,61.40,25,58.50,120,64.00,4,0.00
10/5/2021 0:40,19,69.90,28,66.30,27,62.00,25,59.20,99,64.00,4,0.00
10/5/2021 0:45,18,70.10,28,66.50,26,62.20,23,59.40,95,64.30,4,0.00
10/5/2021 0:50,17,70.30,28,66.50,25,62.40,23,59.60,93,64.40,4,0.00
10/5/2021 0:55,10,70.30,28,66.50,28,62.20,22,59.70,88,63.90,4,0.00
10/5/2021 1:00,14,70.40,28,66.60,23,62.30,20,59.80,85,64.40,4,0.00
10/5/2021 1:05,12,70.40,28,66.50,26,62.40,21,59.90,87,64.20,4,0.00
10/5/2021 1:10,16,70.30,28,66.50,25,62.20,22,59.70,91,64.30,4,0.00
10/5/2021 1:15,18,70.40,28,66.50,27,62.30,25,59.80,98,64.30,4,0.00
10/5/2021 1:20,14,70.40,28,66.50,23,62.30,21,59.80,86,64.40,4,0.00
10/5/2021 1:25,20,70.20,29,66.40,28,62.10,25,59.70,102,64.30,4,0.00
10/5/2021 1:30,18,70.30,28,66.50,28,62.20,24,59.70,98,64.30,4,0.00
10/5/2021 1:35,11,70.40,24,66.50,21,62.30,19,59.90,75,64.20,4,0.00
10/5/2021 1:40,16,70.40,28,66.50,28,62.30,22,59.90,94,64.40,4,0.00
10/5/2021 1:45,19,70.20,28,66.40,27,62.10,25,59.70,99,64.30,4,0.00
10/5/2021 1:50,13,70.40,28,66.60,23,62.30,20,59.80,84,64.40,4,0.00
10/5/2021 1:55,21,70.40,30,66.60,28,62.30,25,59.80,104,64.60,4,0.00
10/5/2021 2:00,14,70.50,28,66.70,28,62.40,22,59.90,92,64.40,4,0.00
10/5/2021 2:05,9,70.40,25,66.60,18,62.40,17,59.90,69,64.30,4,0.00
10/5/2021 2:10,11,70.40,28,66.60,24,62.40,19,59.90,82,64.30,4,0.00
10/5/2021 2:15,11,70.50,28,66.70,23,62.40,19,59.90,81,64.40,4,0.00
10/5/2021 2:20,11,70.40,28,66.70,23,62.40,19,59.90,81,64.40,4,0.00
10/5/2021 2:25,10,70.40,28,66.50,22,62.40,18,59.90,78,64.30,4,0.00
10/5/2021 2:30,14,70.30,28,66.50,23,62.40,21,59.70,86,64.40,4,0.00
10/5/2021 2:35,10,70.40,28,66.50,21,62.40,18,59.70,77,64.30,4,0.00
10/5/2021 2:40,10,70.60,24,66.80,20,62.50,18,59.90,72,64.40,4,0.00
10/5/2021 2:45,8,70.40,28,66.80,23,62.50,18,59.90,77,64.30,4,0.00
10/5/2021 2:50,13,70.60,25,66.80,22,62.50,20,59.90,80,64.50,4,0.00
10/5/2021 2:55,11,70.40,28,66.50,22,62.30,19,59.80,80,64.30,4,0.00
10/5/2021 3:00,14,70.40,28,66.60,23,62.40,20,59.90,85,64.50,4,0.00
10/5/2021 3:05,14,70.40,26,66.50,23,62.40,21,59.90,84,64.40,4,0.00
10/5/2021 3:10,11,70.40,26,66.50,21,62.40,19,59.90,77,64.30,4,0.00
10/5/2021 3:15,9,70.40,24,66.50,18,62.40,17,59.90,68,64.30,4,0.00
10/5/2021 3:20,9,70.40,28,66.50,23,62.40,19,59.90,79,64.20,4,0.00
10/5/2021 3:25,9,70.40,28,66.50,23,62.40,18,59.90,78,64.20,4,0.00
10/5/2021 3:30,9,70.40,29,66.80,25,62.50,20,59.50,83,64.10,4,0.00
10/5/2021 3:35,13,69.90,26,66.30,22,62.00,20,59.00,81,63.90,4,0.00
10/5/2021 3:40,13,70.00,28,66.40,22,62.10,20,59.30,83,64.10,4,0.00
10/5/2021 3:45,16,70.10,29,66.50,25,62.20,22,59.60,92,64.30,4,0.00
10/5/2021 3:50,13,70.30,23,66.40,21,62.20,19,59.80,76,64.30,4,0.00
10/5/2021 3:55,16,70.20,26,66.60,26,62.30,23,59.70,91,64.30,4,0.00
10/5/2021 4:00,14,70.30,25,66.50,23,62.20,21,59.80,83,64.30,4,0.00
10/5/2021 4:05,16,70.20,26,66.30,26,62.20,23,59.80,91,64.10,4,0.00
10/5/2021 4:10,18,70.30,27,66.40,27,62.20,24,59.80,96,64.30,4,0.00
10/5/2021 4:15,16,70.30,25,66.40,25,62.30,22,59.90,88,64.30,4,0.00
10/5/2021 4:20,16,70.30,25,66.40,23,62.30,21,59.90,85,64.40,4,0.00
10/5/2021 4:25,18,70.20,27,66.50,26,62.20,23,59.80,94,64.40,4,0.00
10/5/2021 4:30,21,70.30,31,66.70,27,62.40,24,59.80,103,64.70,4,0.00
10/5/2021 4:35,20,70.40,30,66.90,23,62.60,21,59.90,94,65.00,4,0.00
10/5/2021 4:40,26,70.80,36,67.20,31,62.80,28,59.90,121,65.10,4,0.00
10/5/2021 4:45,28,70.60,37,67.00,35,62.70,32,59.70,132,64.90,4,0.00
10/5/2021 4:50,26,70.20,37,66.60,31,62.30,28,59.70,122,64.70,4,0.00
10/5/2021 4:55,28,70.40,37,66.90,35,62.60,32,59.80,132,64.80,4,0.00
10/5/2021 5:00,24,70.50,33,66.70,32,62.40,28,60.00,117,64.70,4,0.00
10/5/2021 5:05,32,70.50,42,66.60,39,62.50,35,60.00,148,64.80,4,0.00
10/5/2021 5:10,28,70.20,37,66.50,35,62.30,32,59.60,132,64.50,4,0.00
10/5/2021 5:15,32,70.40,43,66.60,37,62.30,33,59.90,145,64.80,4,0.00
10/5/2021 5:20,40,70.80,53,67.00,48,62.70,43,60.20,184,65.10,4,0.00
10/5/2021 5:25,45,70.00,60,66.40,54,62.10,48,59.40,207,64.40,4,0.00
10/5/2021 5:30,42,70.60,52,66.80,47,62.70,42,59.80,183,65.00,4,0.00
10/5/2021 5:35,49,69.30,60,65.40,53,61.10,48,58.80,210,63.70,4,0.00
10/5/2021 5:40,59,70.00,70,66.20,62,61.90,55,59.50,246,64.50,4,0.00
10/5/2021 5:45,63,70.40,74,66.60,65,62.30,58,59.90,260,65.00,4,0.00
10/5/2021 5:50,56,70.80,68,67.30,60,63.00,53,60.00,237,65.40,4,0.00
