5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/19/2021 0:00,0,76.50,0,74.00,30,72.00,20,69.20,1,64.50,51,70.80,5,100.00
10/19/2021 0:05,0,76.50,0,74.00,40,73.60,30,67.80,3,64.60,73,70.80,5,100.00
10/19/2021 0:10,0,76.50,2,74.50,40,73.70,32,69.50,2,64.40,76,71.70,5,100.00
10/19/2021 0:15,0,76.50,0,74.50,24,72.50,30,69.50,1,64.70,55,70.70,5,100.00
10/19/2021 0:20,0,76.50,0,74.50,44,72.20,18,69.20,5,64.60,67,70.80,5,100.00
10/19/2021 0:25,0,76.50,0,74.50,26,70.30,25,64.30,0,64.60,51,67.40,5,100.00
10/19/2021 0:30,0,76.50,0,74.50,25,71.80,21,65.90,2,64.40,48,68.90,5,100.00
10/19/2021 0:35,0,76.50,0,74.50,32,70.80,15,67.10,2,64.40,49,69.40,5,100.00
10/19/2021 0:40,0,76.50,0,74.50,43,69.20,24,64.90,1,64.40,68,67.60,5,100.00
10/19/2021 0:45,0,76.50,0,74.50,30,70.90,28,67.60,3,64.40,61,69.10,5,100.00
10/19/2021 0:50,0,76.50,0,74.50,31,70.60,20,66.40,3,64.10,54,68.70,5,100.00
10/19/2021 0:55,0,76.50,0,74.50,20,70.30,17,68.10,2,64.30,39,69.00,5,100.00
10/19/2021 1:00,0,76.50,0,74.50,20,71.20,13,68.90,2,64.30,35,70.00,5,100.00
10/19/2021 1:05,0,76.50,0,74.50,14,71.80,21,69.10,4,64.50,39,69.60,5,100.00
10/19/2021 1:10,0,76.50,0,74.50,18,71.80,17,69.50,0,64.50,35,70.70,5,100.00
10/19/2021 1:15,0,76.50,0,74.50,20,72.40,13,68.90,0,64.50,33,71.00,5,100.00
10/19/2021 1:20,0,76.50,0,74.50,11,72.40,14,69.40,1,65.20,26,70.50,5,100.00
10/19/2021 1:25,0,76.50,0,74.50,18,72.50,13,69.80,0,65.20,31,71.40,5,100.00
10/19/2021 1:30,0,76.50,0,74.50,18,72.50,7,69.40,1,64.70,26,71.40,5,100.00
10/19/2021 1:35,0,76.50,0,74.50,29,71.40,17,69.60,2,64.50,48,70.50,5,100.00
10/19/2021 1:40,0,76.50,0,74.50,25,72.40,26,65.30,0,64.50,51,68.80,5,100.00
10/19/2021 1:45,0,76.50,0,74.50,20,72.60,17,67.20,1,64.40,38,70.00,5,100.00
10/19/2021 1:50,0,76.50,0,74.50,29,72.10,19,69.10,1,64.30,49,70.80,5,100.00
10/19/2021 1:55,0,76.50,0,74.50,23,71.90,20,61.70,3,64.50,46,67.00,5,100.00
10/19/2021 2:00,0,76.50,0,74.50,14,71.70,9,65.90,0,64.50,23,69.40,5,100.00
10/19/2021 2:05,1,74.60,0,74.50,8,72.10,14,68.10,2,64.50,25,69.40,5,100.00
10/19/2021 2:10,0,74.60,0,74.50,12,72.10,12,68.20,3,64.40,27,69.50,5,100.00
10/19/2021 2:15,0,74.60,0,74.50,10,72.30,9,68.20,0,64.40,19,70.40,5,100.00
10/19/2021 2:20,0,74.60,0,74.50,12,72.50,8,68.70,0,64.40,20,71.00,5,100.00
10/19/2021 2:25,0,74.60,0,74.50,14,72.30,7,68.90,4,64.60,25,70.10,5,100.00
10/19/2021 2:30,0,74.60,0,74.50,13,72.10,10,69.00,3,63.90,26,70.00,5,100.00
10/19/2021 2:35,0,74.60,0,74.50,6,72.50,7,69.40,0,63.90,13,70.80,5,100.00
10/19/2021 2:40,0,74.60,0,74.50,9,72.70,7,69.10,0,63.90,16,71.10,5,100.00
10/19/2021 2:45,0,74.60,0,74.50,13,72.10,12,68.50,1,64.10,26,70.10,5,100.00
10/19/2021 2:50,0,74.60,0,74.50,5,72.20,7,68.30,3,64.50,15,68.80,5,100.00
10/19/2021 2:55,0,74.60,0,74.50,13,72.10,11,68.70,5,64.00,29,69.40,5,100.00
10/19/2021 3:00,0,74.60,0,74.50,7,71.80,9,69.20,2,64.40,18,69.70,5,100.00
10/19/2021 3:05,2,43.80,1,71.40,8,72.00,18,70.40,1,64.20,30,68.90,5,100.00
10/19/2021 3:10,1,59.40,1,70.90,7,72.30,9,69.40,2,64.00,20,69.50,5,100.00
10/19/2021 3:15,0,59.40,1,72.50,11,72.20,8,69.00,1,64.00,21,70.60,5,100.00
10/19/2021 3:20,0,59.40,3,73.40,7,72.40,7,68.60,0,64.00,17,71.00,5,100.00
10/19/2021 3:25,0,59.40,2,73.80,11,70.60,10,68.00,1,64.20,24,69.50,5,100.00
10/19/2021 3:30,0,59.40,1,73.60,7,70.60,17,68.60,2,64.30,27,69.00,5,100.00
10/19/2021 3:35,0,59.40,4,73.80,16,70.70,11,68.80,2,64.20,33,70.00,5,100.00
10/19/2021 3:40,0,59.40,3,73.90,8,71.10,9,68.60,5,64.20,25,69.20,5,100.00
10/19/2021 3:45,0,59.40,5,73.90,16,70.60,8,68.80,1,64.40,30,70.50,5,100.00
10/19/2021 3:50,2,67.90,10,74.00,13,70.30,11,68.90,3,64.50,39,70.30,5,100.00
10/19/2021 3:55,0,67.90,5,74.00,15,71.70,10,68.70,2,64.40,32,70.70,5,100.00
10/19/2021 4:00,2,72.20,8,74.00,18,70.70,18,67.60,1,64.40,47,70.00,5,100.00
10/19/2021 4:05,0,72.20,11,74.00,8,70.10,14,68.40,3,64.30,36,70.10,5,100.00
10/19/2021 4:10,0,72.20,7,74.00,10,71.50,12,68.50,0,64.30,29,70.90,5,100.00
10/19/2021 4:15,0,72.20,11,74.00,14,71.90,9,68.40,2,64.50,36,71.30,5,100.00
10/19/2021 4:20,4,74.20,16,73.80,20,71.50,12,68.00,3,64.50,55,71.20,5,100.00
10/19/2021 4:25,1,75.40,16,74.00,22,72.00,14,68.00,6,64.60,59,70.90,5,100.00
10/19/2021 4:30,0,75.40,12,74.00,18,72.50,17,68.20,6,64.60,53,70.60,5,100.00
10/19/2021 4:35,2,75.90,16,73.90,25,73.70,23,70.00,8,64.80,74,71.70,5,100.00
10/19/2021 4:40,8,76.20,32,73.30,29,74.40,44,69.40,6,64.70,119,71.90,5,100.00
10/19/2021 4:45,3,76.30,18,73.70,23,71.60,33,68.70,12,64.60,89,70.20,5,100.00
10/19/2021 4:50,3,76.40,20,73.90,23,72.20,33,71.10,9,64.00,88,71.50,5,100.00
10/19/2021 4:55,7,76.40,20,74.20,29,73.00,23,70.60,7,64.30,86,72.20,5,100.00
10/19/2021 5:00,4,76.40,19,74.10,26,72.60,27,69.80,4,64.50,80,71.80,5,100.00
10/19/2021 5:05,2,76.40,32,73.80,29,73.80,31,69.90,3,64.70,97,72.30,5,100.00
10/19/2021 5:10,1,76.50,29,74.20,27,74.20,31,68.60,15,64.70,103,71.20,5,100.00
10/19/2021 5:15,4,76.50,20,74.00,37,75.10,36,68.00,12,64.60,109,71.40,5,100.00
10/19/2021 5:20,6,76.50,41,73.50,39,69.10,37,70.30,15,64.50,138,70.60,5,100.00
10/19/2021 5:25,5,76.40,30,73.80,25,70.90,19,70.00,5,64.30,84,71.70,5,100.00
10/19/2021 5:30,4,76.50,39,73.90,39,72.70,32,72.20,13,64.40,127,72.20,5,100.00
10/19/2021 5:35,14,76.20,79,73.20,69,72.90,65,69.00,24,63.60,251,71.30,5,100.00
10/19/2021 5:40,21,75.00,79,73.70,73,73.60,75,73.50,26,64.50,274,72.80,5,100.00
10/19/2021 5:45,20,75.20,94,74.00,72,71.00,82,75.00,35,63.80,303,72.50,5,100.00
10/19/2021 5:50,13,75.70,80,74.60,66,71.60,71,74.20,40,63.00,270,72.10,5,100.00
10/19/2021 5:55,12,76.00,67,74.60,59,71.40,63,74.50,26,63.50,227,72.50,5,100.00
10/19/2021 6:00,11,75.90,72,74.70,71,65.50,66,71.80,31,64.20,251,70.10,5,100.00
10/19/2021 6:05,19,76.40,75,72.60,68,64.80,59,69.30,30,64.60,251,69.00,5,100.00
10/19/2021 6:10,14,76.90,73,72.60,71,62.90,71,64.70,33,65.30,262,67.10,5,100.00
