5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
9/28/2021 0:00,16,70.60,32,66.90,30,63.80,16,59.90,94,65.40,4,0.00
9/28/2021 0:05,18,70.10,32,66.40,31,63.30,18,59.50,99,64.80,4,0.00
9/28/2021 0:10,18,70.30,33,66.60,31,63.50,17,59.70,99,65.10,4,0.00
9/28/2021 0:15,12,70.70,29,67.00,27,63.90,14,60.00,82,65.30,4,0.00
9/28/2021 0:20,8,70.90,26,67.10,26,63.90,14,60.00,74,65.10,4,0.00
9/28/2021 0:25,15,70.70,32,67.00,29,63.90,16,60.00,92,65.40,4,0.00
9/28/2021 0:30,4,70.70,22,67.00,23,63.90,11,60.00,60,64.80,4,0.00
9/28/2021 0:35,9,70.80,28,67.10,28,63.90,15,60.00,80,65.10,4,0.00
9/28/2021 0:40,2,70.10,24,66.40,25,63.30,25,61.70,76,63.90,4,0.00
9/28/2021 0:45,9,70.80,28,67.10,28,63.90,15,60.00,80,65.10,4,0.00
9/28/2021 0:50,1,70.90,26,67.10,24,63.90,12,60.00,63,64.60,4,0.00
9/28/2021 0:55,6,70.90,23,67.10,22,63.90,10,60.00,61,65.20,4,0.00
9/28/2021 1:00,1,70.30,18,66.60,18,63.50,20,60.90,57,63.70,4,0.00
9/28/2021 1:05,1,70.40,14,66.70,15,63.60,18,61.70,48,63.90,4,0.00
9/28/2021 1:10,4,70.50,22,66.80,23,63.70,23,61.70,72,64.40,4,0.00
9/28/2021 1:15,2,70.60,23,66.90,24,63.80,25,61.70,74,64.20,4,0.00
9/28/2021 1:20,1,70.80,21,67.10,22,63.90,25,61.70,69,64.20,4,0.00
