5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/5/2021 0:00,1,76.50,4,74.00,24,72.00,35,69.20,4,64.50,68,70.30,5,100.00
10/5/2021 0:05,0,76.50,1,74.00,22,72.20,34,66.90,1,64.50,58,69.00,5,100.00
10/5/2021 0:10,0,76.50,5,74.10,32,70.10,30,68.40,1,64.30,68,69.60,5,100.00
10/5/2021 0:15,0,76.50,2,74.10,16,71.00,18,68.80,1,64.30,37,69.90,5,100.00
10/5/2021 0:20,0,76.50,4,74.20,23,71.10,19,67.70,1,64.50,47,69.80,5,100.00
10/5/2021 0:25,0,76.50,2,74.10,12,70.70,20,68.00,2,64.60,36,69.10,5,100.00
10/5/2021 0:30,1,76.50,9,74.00,35,70.40,28,66.80,1,64.40,74,69.50,5,100.00
10/5/2021 0:35,0,76.50,2,74.10,16,71.30,19,67.80,1,64.50,38,69.50,5,100.00
10/5/2021 0:40,0,76.50,3,74.00,21,71.40,27,68.30,3,64.40,54,69.60,5,100.00
10/5/2021 0:45,0,76.50,4,74.10,10,72.00,18,69.00,0,64.40,32,70.60,5,100.00
10/5/2021 0:50,0,76.50,9,74.10,10,72.20,16,68.60,1,64.50,36,70.90,5,100.00
10/5/2021 0:55,0,76.50,2,73.90,11,71.90,18,68.40,2,64.50,33,69.70,5,100.00
10/5/2021 1:00,0,76.50,0,73.90,4,72.00,14,69.20,0,64.50,18,69.80,5,100.00
10/5/2021 1:05,0,76.50,2,74.00,14,71.80,22,66.70,2,63.70,40,68.70,5,100.00
10/5/2021 1:10,0,76.50,0,74.00,11,71.90,19,67.80,3,64.10,33,68.80,5,100.00
10/5/2021 1:15,0,76.50,5,74.20,18,72.40,14,68.00,2,64.30,39,70.60,5,100.00
10/5/2021 1:20,0,76.50,3,74.30,22,72.10,18,67.50,3,63.60,46,69.90,5,100.00
10/5/2021 1:25,0,76.50,1,74.50,13,72.00,12,68.40,1,63.90,27,70.20,5,100.00
10/5/2021 1:30,0,76.50,3,74.30,9,72.00,15,68.90,1,64.20,28,70.30,5,100.00
10/5/2021 1:35,0,76.50,0,74.30,6,71.90,17,67.60,0,64.20,23,68.70,5,100.00
10/5/2021 1:40,0,76.50,5,74.30,17,72.00,29,69.60,2,64.10,53,70.60,5,100.00
