5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
9/28/2021 0:00,0,74.80,0,71.00,35,67.40,40,62.80,75,64.90,4,100.00
9/28/2021 0:05,0,74.80,0,71.00,30,67.30,29,62.60,59,65.00,4,100.00
9/28/2021 0:10,6,76.80,0,71.00,22,67.40,34,63.10,62,66.00,4,100.00
9/28/2021 0:15,15,76.40,0,71.00,24,67.90,40,60.60,79,65.80,4,100.00
9/28/2021 0:20,15,73.80,0,71.00,15,67.60,15,60.50,45,67.30,4,100.00
9/28/2021 0:25,41,67.50,0,71.00,14,67.60,32,60.50,87,64.90,4,100.00
9/28/2021 0:30,22,69.60,0,71.00,32,67.10,32,60.20,86,65.20,4,100.00
9/28/2021 0:35,40,78.20,0,71.00,20,66.20,38,60.30,98,68.80,4,100.00
9/28/2021 0:40,30,84.80,0,71.00,30,66.80,35,62.30,95,70.80,4,100.00
9/28/2021 0:45,49,81.60,0,71.00,19,67.40,22,53.20,90,71.70,4,100.00
9/28/2021 0:50,50,70.20,0,71.00,10,67.30,14,56.30,74,67.20,4,100.00
9/28/2021 0:55,71,66.80,0,71.00,10,67.30,19,53.10,100,64.20,4,100.00
9/28/2021 1:00,120,65.80,0,71.00,10,67.20,10,58.60,140,65.40,4,100.00
9/28/2021 1:05,105,67.30,0,71.00,14,66.80,23,61.00,142,66.20,4,100.00
9/28/2021 1:10,98,64.80,0,71.00,6,67.00,6,62.20,110,64.80,4,100.00
9/28/2021 1:15,136,42.10,0,71.00,22,67.20,26,64.40,184,48.30,4,100.00
9/28/2021 1:20,110,26.20,0,71.00,30,67.90,20,64.90,160,38.90,4,100.00
9/28/2021 1:25,101,17.80,23,68.90,11,67.80,25,65.10,160,36.00,4,75.00
9/28/2021 1:30,86,12.90,8,71.00,10,67.60,26,63.20,130,30.70,4,100.00
9/28/2021 1:35,94,10.80,0,71.00,5,67.50,45,58.40,144,27.60,4,100.00
9/28/2021 1:40,115,10.80,0,71.00,5,67.20,45,59.20,165,25.70,4,100.00
9/28/2021 1:45,90,9.60,0,71.00,27,66.60,35,59.50,152,31.20,4,100.00
9/28/2021 1:50,78,8.40,0,71.00,5,66.90,26,60.30,109,23.50,4,100.00
9/28/2021 1:55,104,10.60,0,71.00,10,67.00,34,59.00,148,25.50,4,100.00
9/28/2021 2:00,85,27.90,0,71.00,15,67.30,20,59.70,120,38.10,4,100.00
9/28/2021 2:05,77,34.10,5,70.80,10,67.50,5,61.10,97,40.80,4,100.00
9/28/2021 2:10,66,50.40,0,70.80,8,67.50,12,62.10,86,53.60,4,100.00
9/28/2021 2:15,126,61.50,10,70.90,5,67.30,12,62.10,153,62.40,4,100.00
9/28/2021 2:20,105,53.50,10,70.90,5,66.30,25,63.00,145,56.80,4,100.00
9/28/2021 2:25,80,43.80,10,70.80,13,63.30,20,63.20,123,51.20,4,100.00
9/28/2021 2:30,106,43.90,4,70.80,6,64.40,2,63.30,118,46.20,4,100.00
9/28/2021 2:35,141,46.60,7,70.70,6,65.50,2,63.20,156,48.60,4,100.00
9/28/2021 2:40,150,45.30,10,70.80,15,66.50,15,62.30,190,49.70,4,100.00
9/28/2021 2:45,150,50.70,8,70.70,15,67.90,19,62.30,192,54.00,4,100.00
9/28/2021 2:50,154,48.20,6,70.90,14,68.10,10,62.80,184,51.20,4,100.00
9/28/2021 2:55,130,44.80,8,71.40,24,67.80,28,63.10,190,51.50,4,100.00
9/28/2021 3:00,160,50.20,0,71.40,5,66.70,15,62.40,180,51.70,4,100.00
9/28/2021 3:05,150,49.50,0,71.40,4,67.40,15,63.10,169,51.10,4,100.00
9/28/2021 3:10,174,50.80,16,70.20,8,67.50,20,63.80,218,54.00,4,100.00
9/28/2021 3:15,157,48.70,10,70.70,8,66.30,21,64.20,196,52.20,4,100.00
9/28/2021 3:20,150,42.60,10,71.00,15,54.20,25,64.60,200,47.60,4,100.00
9/28/2021 3:25,169,43.20,5,71.50,0,54.20,17,63.00,191,45.70,4,100.00
9/28/2021 3:30,156,46.20,6,70.90,6,61.10,30,49.60,198,47.90,4,100.00
9/28/2021 3:35,187,53.00,18,70.20,13,61.70,33,57.90,251,55.30,4,100.00
9/28/2021 3:40,185,60.30,10,70.10,20,64.40,40,63.30,255,61.50,4,100.00
9/28/2021 3:45,159,55.00,5,70.40,9,65.50,16,63.50,189,56.60,4,100.00
9/28/2021 3:50,180,55.80,8,70.70,10,66.50,24,64.10,222,57.70,4,100.00
9/28/2021 3:55,148,52.50,6,70.80,22,67.60,39,58.40,215,55.60,4,100.00
9/28/2021 4:00,155,52.20,5,71.00,20,68.30,40,60.70,220,55.60,4,100.00
9/28/2021 4:05,95,48.50,9,71.00,46,35.40,25,58.70,175,47.70,4,100.00
9/28/2021 4:10,142,50.70,10,70.90,136,21.00,20,61.00,308,38.90,4,100.00
9/28/2021 4:15,169,52.00,15,70.60,170,15.10,26,63.20,380,37.00,4,100.00
9/28/2021 4:20,70,49.10,5,70.70,50,12.20,20,53.90,145,37.80,4,100.00
9/28/2021 4:25,117,57.80,18,70.00,15,12.90,21,56.10,171,54.90,4,100.00
9/28/2021 4:30,154,67.40,28,70.70,22,40.00,32,57.90,236,63.90,4,100.00
9/28/2021 4:35,112,72.40,12,71.00,19,54.30,20,60.50,163,68.70,4,100.00
9/28/2021 4:40,115,71.70,20,70.80,10,61.10,20,59.50,165,69.50,4,100.00
9/28/2021 4:45,158,82.00,23,71.20,19,65.10,23,60.90,223,77.30,4,100.00
9/28/2021 4:50,104,84.80,38,70.80,34,68.30,16,61.90,192,77.20,4,100.00
9/28/2021 4:55,100,83.90,26,70.90,37,66.60,8,62.50,171,77.20,4,100.00
9/28/2021 5:00,125,84.80,25,71.10,25,67.70,30,64.70,205,78.10,4,100.00
9/28/2021 5:05,111,84.80,40,69.60,89,55.10,11,62.30,251,70.90,4,100.00
9/28/2021 5:10,98,84.80,30,70.10,46,57.40,46,65.80,220,73.10,4,100.00
9/28/2021 5:15,112,84.80,26,70.50,31,61.10,74,67.80,243,75.10,4,100.00
9/28/2021 5:20,110,76.70,40,71.40,60,63.40,65,67.70,275,70.90,4,100.00
9/28/2021 5:25,69,76.10,49,73.00,40,67.10,63,69.10,221,71.80,4,100.00
9/28/2021 5:30,110,84.20,50,74.10,40,59.80,38,66.40,238,75.10,4,100.00
9/28/2021 5:35,128,84.30,52,72.10,72,55.10,59,55.80,311,70.10,4,100.00
9/28/2021 5:40,75,75.80,55,70.10,45,65.20,65,69.30,240,70.70,4,100.00
9/28/2021 5:45,96,83.50,88,72.80,58,65.80,72,68.20,314,73.70,4,100.00
9/28/2021 5:50,90,84.80,90,72.80,64,66.40,106,62.90,350,71.70,4,100.00
9/28/2021 5:55,67,84.80,83,71.70,57,66.90,113,72.80,320,74.00,4,100.00
9/28/2021 6:00,80,73.30,65,69.20,60,62.40,50,62.10,255,67.50,4,100.00
9/28/2021 6:05,149,62.20,68,69.60,67,64.30,53,54.60,337,62.90,4,100.00
9/28/2021 6:10,80,69.90,58,68.40,66,64.70,24,56.90,228,66.60,4,100.00
9/28/2021 6:15,75,64.10,83,65.50,71,60.50,46,58.40,275,62.60,4,100.00
9/28/2021 6:20,85,55.60,95,66.30,95,65.80,175,64.00,450,63.30,4,100.00
9/28/2021 6:25,108,52.70,64,64.70,83,58.90,128,57.30,383,57.60,4,100.00
9/28/2021 6:30,90,54.70,92,66.70,90,56.00,122,64.00,394,60.70,4,100.00
9/28/2021 6:35,102,61.90,100,65.30,100,58.50,98,62.30,400,62.00,4,100.00
9/28/2021 6:40,95,68.60,115,65.10,70,58.30,165,57.50,445,62.00,4,100.00
9/28/2021 6:45,85,60.50,153,67.80,95,61.50,191,57.90,524,61.90,4,100.00
9/28/2021 6:50,66,67.80,172,66.80,94,60.90,90,63.00,422,64.80,4,100.00
9/28/2021 6:55,70,69.50,102,64.80,76,63.20,104,63.80,352,65.10,4,100.00
9/28/2021 7:00,85,64.50,100,65.50,70,57.70,100,57.30,355,61.40,4,100.00
9/28/2021 7:05,103,62.50,109,66.80,62,62.70,86,55.60,360,62.20,4,100.00
9/28/2021 7:10,75,60.30,121,66.00,74,65.00,145,61.70,415,63.30,4,100.00
9/28/2021 7:15,115,56.70,130,64.90,115,64.30,120,58.00,480,61.10,4,100.00
9/28/2021 7:20,83,54.70,135,61.60,134,64.40,144,59.50,496,60.60,4,100.00
9/28/2021 7:25,92,58.40,148,61.80,100,65.50,102,54.80,442,60.30,4,100.00
9/28/2021 7:30,148,64.80,215,61.80,143,62.00,183,54.70,689,60.60,4,100.00
9/28/2021 7:35,125,62.40,185,60.70,115,61.50,105,50.60,530,59.30,4,100.00
9/28/2021 7:40,132,60.90,209,60.70,175,54.90,97,46.30,613,56.80,4,100.00
9/28/2021 7:45,168,62.20,192,62.20,160,57.10,142,47.80,662,57.90,4,100.00
9/28/2021 7:50,137,70.80,221,61.70,167,59.60,188,51.60,713,60.30,4,100.00
