5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/5/2021 0:00,53,84.80,0,71.00,9,67.40,59,56.30,121,69.60,4,100.00
10/5/2021 0:05,12,66.70,0,71.00,0,67.40,70,56.30,82,57.80,4,100.00
10/5/2021 0:10,30,39.00,0,71.00,0,67.40,80,55.50,110,51.00,4,100.00
10/5/2021 0:15,44,25.20,0,71.00,0,67.40,46,53.80,90,39.80,4,100.00
10/5/2021 0:20,41,41.90,0,71.00,0,67.40,45,43.80,86,42.90,4,100.00
10/5/2021 0:25,49,62.40,0,71.00,0,67.40,27,39.70,76,54.30,4,100.00
10/5/2021 0:30,82,70.20,0,71.00,0,67.40,72,34.60,154,53.60,4,100.00
10/5/2021 0:35,58,77.40,0,71.00,0,67.40,50,35.30,108,57.90,4,100.00
10/5/2021 0:40,58,71.90,0,71.00,0,67.40,27,45.00,85,63.40,4,100.00
10/5/2021 0:45,98,63.30,0,71.00,0,67.40,33,48.20,131,59.50,4,100.00
10/5/2021 0:50,85,73.70,0,71.00,0,67.40,35,45.00,120,65.30,4,100.00
10/5/2021 0:55,128,76.30,0,71.00,0,67.40,24,47.90,152,71.80,4,100.00
10/5/2021 1:00,61,67.20,0,71.00,0,67.40,27,51.70,88,62.40,4,100.00
10/5/2021 1:05,101,57.40,0,71.00,0,67.40,14,55.90,115,57.20,4,100.00
10/5/2021 1:10,95,60.00,0,71.00,0,67.40,25,57.50,120,59.50,4,100.00
10/5/2021 1:15,118,55.70,0,71.00,0,67.40,38,56.70,156,55.90,4,100.00
10/5/2021 1:20,141,62.30,0,71.00,0,67.40,40,54.40,181,60.60,4,100.00
10/5/2021 1:25,85,54.90,0,71.00,0,67.40,26,55.70,111,55.10,4,100.00
