5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/12/2021 0:00,9,76.50,26,74.00,19,72.00,3,69.20,4,64.50,61,72.90,5,100.00
10/12/2021 0:05,4,76.50,22,73.90,23,72.30,12,69.60,3,64.50,64,72.20,5,100.00
10/12/2021 0:10,2,76.60,18,73.70,26,70.00,9,69.50,3,64.60,58,71.00,5,100.00
10/12/2021 0:15,2,76.60,14,73.80,27,71.30,10,69.30,0,64.60,53,71.80,5,100.00
10/12/2021 0:20,4,76.60,21,73.50,26,71.70,13,68.30,7,64.80,71,71.20,5,100.00
10/12/2021 0:25,1,76.30,19,73.70,14,72.00,9,68.80,1,64.60,44,72.00,5,100.00
10/12/2021 0:30,3,76.40,24,73.60,20,71.70,14,69.20,1,64.70,62,72.00,5,100.00
10/12/2021 0:35,3,76.50,20,73.70,19,72.20,13,69.30,4,64.70,59,71.80,5,100.00
10/12/2021 0:40,4,76.50,16,73.80,18,71.70,12,68.20,1,64.70,51,71.80,5,100.00
10/12/2021 0:45,2,76.60,16,73.90,19,71.60,11,68.90,2,64.70,50,71.70,5,100.00
10/12/2021 0:50,3,76.60,12,73.70,26,72.10,11,68.90,1,64.20,53,71.90,5,100.00
10/12/2021 0:55,2,76.50,15,73.60,14,72.20,8,68.50,1,64.40,40,72.00,5,100.00
10/12/2021 1:00,2,76.50,15,73.70,15,72.20,7,69.00,1,64.70,40,72.20,5,100.00
10/12/2021 1:05,0,76.50,14,73.80,14,71.70,10,69.00,2,64.30,40,71.40,5,100.00
10/12/2021 1:10,1,76.60,11,73.80,18,71.90,5,69.00,3,64.50,38,71.60,5,100.00
10/12/2021 1:15,0,76.60,16,74.00,14,72.00,8,69.30,2,64.50,40,71.90,5,100.00
10/12/2021 1:20,2,76.60,13,74.00,14,72.20,7,69.20,1,64.40,37,72.30,5,100.00
10/12/2021 1:25,1,76.60,16,73.90,18,69.80,10,69.30,2,63.60,47,71.00,5,100.00
10/12/2021 1:30,3,76.50,7,73.90,7,70.20,2,69.10,1,64.10,20,72.00,5,100.00
10/12/2021 1:35,3,76.60,6,73.90,13,71.20,10,69.50,0,64.10,32,71.70,5,100.00
10/12/2021 1:40,0,76.60,15,73.80,18,71.00,12,69.10,1,64.50,46,71.30,5,100.00
10/12/2021 1:45,2,76.60,16,74.00,20,71.80,10,69.00,2,64.50,50,71.80,5,100.00
10/12/2021 1:50,2,76.50,16,73.90,14,72.00,8,69.10,1,64.40,41,72.20,5,100.00
10/12/2021 1:55,0,76.50,6,73.90,10,71.50,14,69.20,1,64.40,31,70.70,5,100.00
10/12/2021 2:00,1,76.50,14,73.80,15,71.70,9,69.40,3,64.40,42,71.50,5,100.00
10/12/2021 2:05,1,76.50,9,73.90,10,71.70,6,69.00,2,64.50,28,71.50,5,100.00
10/12/2021 2:10,1,76.50,9,74.00,13,72.00,8,67.90,1,64.50,32,71.40,5,100.00
10/12/2021 2:15,0,76.50,6,74.00,7,72.10,7,68.80,1,64.70,21,71.20,5,100.00
10/12/2021 2:20,1,76.50,6,73.80,16,71.50,6,69.10,4,64.90,33,70.80,5,100.00
10/12/2021 2:25,0,76.50,5,73.90,8,71.40,8,69.20,3,64.80,24,70.40,5,100.00
10/12/2021 2:30,0,76.50,9,74.00,9,71.60,3,69.30,2,64.70,23,71.60,5,100.00
10/12/2021 2:35,0,76.50,6,73.90,9,71.00,9,69.50,2,64.60,26,70.70,5,100.00
10/12/2021 2:40,2,76.50,6,74.00,13,70.00,6,69.10,1,64.60,28,70.90,5,100.00
10/12/2021 2:45,1,76.50,2,74.00,9,69.90,8,68.90,1,64.40,21,70.00,5,100.00
10/12/2021 2:50,1,76.50,5,73.70,6,70.50,4,68.60,0,64.40,16,71.40,5,100.00
10/12/2021 2:55,0,76.50,2,73.80,11,71.30,2,69.00,2,64.30,17,70.50,5,100.00
10/12/2021 3:00,0,76.50,4,73.90,4,71.70,3,68.70,2,64.60,13,70.60,5,100.00
10/12/2021 3:05,0,76.50,2,73.90,6,72.40,3,69.10,2,64.40,13,70.60,5,100.00
10/12/2021 3:10,1,76.50,7,73.90,7,72.20,4,68.80,1,64.50,20,71.90,5,100.00
10/12/2021 3:15,0,76.50,2,73.90,13,72.20,4,68.80,1,64.50,20,71.30,5,100.00
10/12/2021 3:20,3,76.40,8,74.00,5,71.20,0,68.80,3,64.50,19,72.10,5,100.00
10/12/2021 3:25,1,76.40,8,73.80,6,71.70,7,68.20,2,64.40,24,71.00,5,100.00
10/12/2021 3:30,0,76.40,4,73.80,13,70.70,6,67.20,1,64.50,24,70.10,5,100.00
10/12/2021 3:35,1,76.40,8,73.50,7,71.60,7,68.30,4,64.50,27,70.40,5,100.00
