5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/12/2021 0:00,7,74.80,19,71.00,16,67.40,9,62.80,51,68.90,4,100.00
10/12/2021 0:05,7,74.70,16,70.90,17,67.10,6,62.30,46,69.00,4,100.00
10/12/2021 0:10,3,74.70,12,70.90,13,67.30,8,62.50,36,68.00,4,100.00
10/12/2021 0:15,4,74.80,21,70.70,15,66.60,5,62.80,45,68.80,4,100.00
10/12/2021 0:20,3,74.70,11,70.80,7,67.10,4,62.40,25,68.90,4,100.00
10/12/2021 0:25,3,74.90,16,70.90,15,67.20,10,62.10,44,67.90,4,100.00
10/12/2021 0:30,3,74.90,13,70.80,19,67.30,9,62.50,44,67.90,4,100.00
10/12/2021 0:35,5,74.80,9,70.90,14,67.30,8,62.70,36,68.20,4,100.00
10/12/2021 0:40,1,74.70,11,70.70,8,67.30,3,62.90,23,68.70,4,100.00
10/12/2021 0:45,1,74.70,15,70.90,14,67.30,9,62.70,39,67.80,4,100.00
10/12/2021 0:50,1,74.60,13,71.00,17,67.20,4,62.30,35,68.30,4,100.00
10/12/2021 0:55,3,74.60,7,71.00,10,67.30,4,62.10,24,68.40,4,100.00
10/12/2021 1:00,1,74.60,12,70.90,10,66.50,6,62.70,29,67.80,4,100.00
10/12/2021 1:05,1,74.80,9,70.90,12,66.90,1,62.80,23,68.60,4,100.00
10/12/2021 1:10,1,74.80,10,71.00,17,67.00,6,62.80,34,67.70,4,100.00
10/12/2021 1:15,1,74.70,8,71.10,8,67.20,3,62.90,20,68.50,4,100.00
10/12/2021 1:20,0,74.70,6,71.00,8,67.30,9,63.10,23,66.60,4,100.00
10/12/2021 1:25,0,74.70,8,71.00,11,67.30,5,63.10,24,67.70,4,100.00
10/12/2021 1:30,5,74.70,14,71.00,13,66.90,5,62.60,37,68.90,4,100.00
10/12/2021 1:35,1,74.30,1,70.80,4,66.90,1,62.70,7,67.90,4,100.00
10/12/2021 1:40,0,74.30,14,70.90,20,66.50,7,62.70,41,67.40,4,100.00
10/12/2021 1:45,0,74.30,9,71.00,11,67.00,3,62.10,23,67.90,4,100.00
10/12/2021 1:50,1,74.50,12,71.10,10,67.30,7,62.00,30,67.80,4,100.00
10/12/2021 1:55,0,74.50,12,71.10,7,66.90,7,62.70,26,67.70,4,100.00
10/12/2021 2:00,2,74.40,5,71.00,15,67.40,7,63.10,29,67.50,4,100.00
10/12/2021 2:05,1,74.40,14,71.00,16,67.60,4,63.20,35,68.70,4,100.00
10/12/2021 2:10,1,74.30,7,71.00,11,67.50,2,63.20,21,68.60,4,100.00
10/12/2021 2:15,0,74.30,7,71.00,9,67.10,4,62.60,20,67.60,4,100.00
10/12/2021 2:20,0,74.30,5,70.90,17,67.50,7,62.60,29,66.90,4,100.00
10/12/2021 2:25,0,74.30,12,71.00,9,66.90,3,62.60,24,68.40,4,100.00
10/12/2021 2:30,0,74.30,6,71.00,8,67.20,4,62.90,18,67.50,4,100.00
10/12/2021 2:35,0,74.30,9,70.90,10,66.80,6,63.00,25,67.40,4,100.00
10/12/2021 2:40,1,74.50,6,71.10,13,66.30,6,63.20,26,67.00,4,100.00
