5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/12/2021 0:00,9,76.50,20,74.00,15,72.00,7,69.20,4,64.50,55,72.60,5,100.00
10/12/2021 0:05,7,76.20,20,73.70,10,71.50,13,69.00,4,64.50,54,71.80,5,100.00
10/12/2021 0:10,2,76.20,15,73.80,14,71.80,7,68.70,1,64.50,39,72.10,5,100.00
10/12/2021 0:15,4,76.30,16,73.80,15,71.20,6,68.30,2,64.50,43,71.90,5,100.00
10/12/2021 0:20,2,76.20,15,73.90,6,71.70,7,68.30,2,64.80,32,71.80,5,100.00
10/12/2021 0:25,1,76.10,18,74.00,13,72.00,14,68.30,1,64.80,47,71.60,5,100.00
10/12/2021 0:30,3,76.20,17,74.00,15,71.80,10,68.80,3,64.60,48,71.80,5,100.00
10/12/2021 0:35,6,76.20,12,74.00,13,72.20,8,69.20,1,64.60,40,72.50,5,100.00
10/12/2021 0:40,1,76.10,10,74.00,10,72.20,5,68.70,0,64.60,26,72.40,5,100.00
10/12/2021 0:45,2,76.10,13,74.00,13,71.90,13,68.70,2,64.70,43,71.40,5,100.00
10/12/2021 0:50,2,76.20,14,73.90,15,71.70,8,68.40,0,64.70,39,72.00,5,100.00
10/12/2021 0:55,2,76.10,9,73.90,9,72.10,7,68.30,1,64.50,28,71.70,5,100.00
10/12/2021 1:00,4,76.20,11,73.80,11,72.10,8,68.90,1,64.40,35,72.20,5,100.00
10/12/2021 1:05,1,76.20,7,73.90,12,71.80,7,69.20,1,64.50,28,71.60,5,100.00
10/12/2021 1:10,0,76.20,11,73.90,16,72.10,8,69.50,2,64.30,37,71.70,5,100.00
10/12/2021 1:15,2,76.30,9,74.00,10,72.20,3,69.60,0,64.30,24,72.90,5,100.00
10/12/2021 1:20,0,76.30,6,73.90,14,71.50,6,69.50,1,64.40,27,71.30,5,100.00
10/12/2021 1:25,0,76.30,8,74.00,11,69.40,5,69.70,0,64.40,24,71.00,5,100.00
10/12/2021 1:30,3,76.20,13,73.80,15,70.00,4,69.00,3,64.70,38,71.30,5,100.00
10/12/2021 1:35,1,75.90,3,74.00,3,71.50,3,69.40,0,64.70,10,72.10,5,100.00
10/12/2021 1:40,0,75.90,12,74.00,18,71.20,8,69.50,1,64.60,39,71.50,5,100.00
10/12/2021 1:45,1,76.00,7,74.10,10,71.90,7,68.40,1,64.60,26,71.40,5,100.00
10/12/2021 1:50,2,76.30,12,74.20,9,72.00,6,68.40,0,64.60,29,72.50,5,100.00
10/12/2021 1:55,1,76.80,9,73.80,8,71.60,7,68.50,0,64.60,25,71.70,5,100.00
10/12/2021 2:00,2,76.40,8,73.70,13,71.90,9,69.40,0,64.60,32,71.90,5,100.00
10/12/2021 2:05,1,76.30,16,73.70,15,72.40,4,69.70,5,64.40,41,71.80,5,100.00
10/12/2021 2:10,1,76.20,8,73.80,10,72.50,6,69.40,0,64.40,25,72.30,5,100.00
10/12/2021 2:15,0,76.20,5,73.90,8,72.00,7,69.20,2,64.60,22,70.90,5,100.00
10/12/2021 2:20,0,76.20,5,73.70,19,72.70,6,69.00,1,64.50,31,71.90,5,100.00
10/12/2021 2:25,0,76.20,13,73.90,9,71.60,4,69.20,1,64.10,27,72.10,5,100.00
10/12/2021 2:30,2,76.30,4,73.90,9,71.90,5,69.50,2,64.30,22,71.40,5,100.00
10/12/2021 2:35,1,76.20,9,74.00,8,71.60,7,69.60,1,64.40,26,71.80,5,100.00
10/12/2021 2:40,1,76.20,6,74.00,12,70.60,11,69.90,1,64.40,31,71.00,5,100.00
10/12/2021 2:45,2,76.40,6,73.60,5,71.00,6,69.40,1,64.50,20,71.50,5,100.00
10/12/2021 2:50,2,76.20,5,73.60,7,70.60,9,68.70,1,64.10,24,70.70,5,100.00
10/12/2021 2:55,1,76.00,4,73.80,8,70.90,5,68.70,0,64.10,18,71.20,5,100.00
10/12/2021 3:00,0,76.00,3,73.90,8,71.70,6,69.40,2,64.30,19,70.50,5,100.00
10/12/2021 3:05,0,76.00,1,73.80,3,71.80,6,69.10,2,64.30,12,69.40,5,100.00
10/12/2021 3:10,1,76.20,7,73.80,8,72.20,4,69.40,1,64.30,21,72.00,5,100.00
10/12/2021 3:15,1,76.90,3,73.80,9,72.00,3,68.50,0,64.30,16,72.00,5,100.00
10/12/2021 3:20,0,76.90,6,73.90,10,72.20,5,68.90,2,64.30,23,71.20,5,100.00
10/12/2021 3:25,6,76.90,10,73.70,8,70.50,4,69.10,1,64.30,29,72.50,5,100.00
10/12/2021 3:30,0,76.90,8,73.80,9,70.00,11,66.30,2,64.40,30,69.30,5,100.00
10/12/2021 3:35,1,77.30,3,73.90,12,70.80,8,66.70,0,64.40,24,70.10,5,100.00
10/12/2021 3:40,2,77.00,11,74.00,13,71.20,6,68.20,0,64.40,32,72.00,5,100.00
10/12/2021 3:45,0,77.00,13,74.20,17,71.20,13,68.20,2,64.30,45,70.90,5,100.00
10/12/2021 3:50,0,77.00,4,74.20,15,71.30,15,68.20,0,64.30,34,70.30,5,100.00
10/12/2021 3:55,1,76.80,4,74.20,10,71.30,15,68.60,2,64.50,32,70.10,5,100.00
10/12/2021 4:00,2,76.90,10,74.10,15,70.70,7,69.20,2,64.40,36,71.30,5,100.00
10/12/2021 4:05,1,76.50,18,73.90,14,71.30,14,68.80,0,64.40,47,71.70,5,100.00
10/12/2021 4:10,0,76.50,9,73.90,14,72.40,6,69.10,3,64.50,32,71.50,5,100.00
10/12/2021 4:15,0,76.50,9,74.00,7,72.20,7,69.50,4,64.30,27,70.90,5,100.00
10/12/2021 4:20,0,76.50,8,73.90,17,73.10,21,70.70,2,64.40,48,71.80,5,100.00
10/12/2021 4:25,1,76.50,13,73.90,18,73.10,14,69.90,2,64.60,48,72.10,5,100.00
10/12/2021 4:30,2,76.30,24,73.80,21,71.60,21,71.10,4,64.40,72,71.90,5,100.00
10/12/2021 4:35,5,76.20,21,73.90,29,70.70,23,70.40,7,64.50,85,71.20,5,100.00
10/12/2021 4:40,5,76.50,30,73.20,28,71.60,41,75.60,6,64.30,110,73.40,5,100.00
10/12/2021 4:45,3,76.30,21,73.70,25,72.00,25,68.80,7,64.60,81,71.00,5,100.00
10/12/2021 4:50,6,76.20,29,73.80,26,65.70,31,69.60,11,64.50,103,69.60,5,100.00
10/12/2021 4:55,3,76.20,31,74.10,30,69.30,18,69.40,10,64.40,92,70.60,5,100.00
10/12/2021 5:00,3,76.20,25,74.10,35,69.80,33,67.90,10,64.40,106,69.90,5,100.00
10/12/2021 5:05,1,76.30,20,74.00,26,72.50,29,64.90,4,64.50,80,69.80,5,100.00
10/12/2021 5:10,6,76.30,38,74.00,39,70.60,34,66.30,12,62.60,129,70.00,5,100.00
10/12/2021 5:15,5,76.50,34,74.10,34,69.10,28,65.00,5,63.60,106,69.70,5,100.00
10/12/2021 5:20,9,76.50,48,74.00,43,67.20,42,66.80,11,64.10,153,69.50,5,100.00
10/12/2021 5:25,6,76.30,36,74.00,43,63.20,45,66.30,15,62.70,145,67.30,5,100.00
10/12/2021 5:30,15,76.40,57,73.40,47,71.50,49,72.90,22,63.30,190,71.90,5,100.00
10/12/2021 5:35,7,76.30,80,73.20,71,73.10,72,72.50,26,64.10,256,72.10,5,100.00
10/12/2021 5:40,19,75.70,87,73.50,75,75.90,67,74.30,17,64.30,265,73.90,5,100.00
10/12/2021 5:45,15,75.90,78,74.30,73,76.90,68,75.10,33,63.90,267,74.00,5,100.00
10/12/2021 5:50,13,76.40,75,73.50,76,77.20,76,73.70,25,64.50,265,73.90,5,100.00
10/12/2021 5:55,19,76.50,77,72.60,67,72.30,59,73.80,17,64.60,239,72.60,5,100.00
10/12/2021 6:00,18,75.70,67,72.40,58,67.00,53,69.90,20,64.50,216,69.90,5,100.00
10/12/2021 6:05,10,76.50,82,72.40,58,66.20,76,70.00,28,61.10,254,69.20,5,100.00
10/12/2021 6:10,15,76.70,83,73.50,59,60.90,71,69.40,22,63.00,250,68.60,5,100.00
10/12/2021 6:15,17,76.60,82,73.40,63,60.90,64,65.40,26,63.60,252,67.40,5,100.00
10/12/2021 6:20,21,76.60,112,70.90,80,65.30,79,61.80,35,64.90,327,67.10,5,100.00
10/12/2021 6:25,29,75.50,110,70.40,81,64.30,77,60.80,35,64.10,332,66.50,5,100.00
10/12/2021 6:30,30,76.20,124,70.40,92,61.20,76,61.10,34,65.40,356,66.00,5,100.00
10/12/2021 6:35,22,76.50,100,70.80,81,62.50,84,61.10,39,66.60,326,66.10,5,100.00
10/12/2021 6:40,25,76.00,125,69.60,93,63.90,94,60.70,45,63.50,382,65.70,5,100.00
10/12/2021 6:45,30,75.50,145,69.40,121,64.10,100,58.70,38,65.70,434,65.60,5,100.00
10/12/2021 6:50,37,75.30,128,69.20,90,64.70,97,60.50,41,63.80,393,66.00,5,100.00
10/12/2021 6:55,32,75.30,122,69.90,111,64.50,101,60.90,53,63.80,419,65.90,5,100.00
10/12/2021 7:00,25,77.20,108,69.40,101,62.10,88,62.50,48,60.60,370,65.20,5,100.00
10/12/2021 7:05,37,77.60,143,67.80,103,59.50,106,60.00,39,61.50,428,64.10,5,100.00
10/12/2021 7:10,26,77.60,142,66.00,115,58.60,98,59.90,64,59.40,445,62.50,5,100.00
10/12/2021 7:15,35,78.70,148,67.50,107,59.80,119,60.30,62,58.20,471,63.50,5,100.00
10/12/2021 7:20,39,77.50,167,67.30,109,60.10,128,57.90,56,58.10,499,63.10,5,100.00
10/12/2021 7:25,64,77.20,157,67.40,114,61.60,112,56.30,61,57.00,508,63.60,5,100.00
10/12/2021 7:30,61,78.50,162,65.90,134,63.40,131,58.10,59,57.80,547,64.00,5,100.00
10/12/2021 7:35,66,74.20,172,64.60,124,62.90,138,55.80,86,56.60,586,62.10,5,100.00
10/12/2021 7:40,64,75.40,166,64.40,140,60.60,146,56.80,83,56.10,599,61.70,5,100.00
10/12/2021 7:45,69,76.50,169,64.20,139,58.30,134,55.80,83,54.50,594,61.00,5,100.00
10/12/2021 7:50,98,74.20,179,61.20,140,52.90,148,52.60,107,51.10,672,57.90,5,100.00
10/12/2021 7:55,103,70.90,169,58.50,135,52.20,147,50.80,95,49.70,649,56.10,5,100.00
10/12/2021 8:00,81,63.80,162,57.60,133,53.30,146,50.60,87,51.10,609,54.90,5,100.00
10/12/2021 8:05,73,62.20,158,59.80,145,55.10,125,53.20,88,52.30,589,56.40,5,100.00
10/12/2021 8:10,57,58.10,150,60.30,139,56.80,133,53.90,81,52.60,560,56.60,5,100.00
10/12/2021 8:15,60,60.60,174,62.20,129,58.60,137,54.40,73,53.70,573,58.30,5,100.00
10/12/2021 8:20,68,60.90,158,63.20,124,59.40,125,55.40,80,55.30,555,59.20,5,100.00
10/12/2021 8:25,75,59.70,168,63.10,139,61.10,132,56.40,68,56.00,582,59.80,5,100.00
10/12/2021 8:30,62,58.50,156,62.80,127,60.30,130,57.70,61,55.90,536,59.70,5,100.00
10/12/2021 8:35,56,58.10,168,63.90,126,60.50,141,59.60,62,56.40,553,60.60,5,100.00
10/12/2021 8:40,85,61.20,177,64.80,142,58.80,126,58.70,58,57.40,588,60.80,5,100.00
10/12/2021 8:45,70,62.10,168,65.30,145,62.80,120,59.40,56,58.10,559,62.30,5,100.00
10/12/2021 8:50,89,61.20,177,61.60,156,61.80,139,55.50,73,57.20,634,59.70,5,100.00
10/12/2021 8:55,66,62.40,167,64.00,126,62.20,133,56.40,81,56.60,573,60.60,5,100.00
10/12/2021 9:00,62,63.00,138,64.20,122,59.30,151,57.10,77,59.20,550,60.30,5,100.00
