5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/12/2021 0:00,20,70.40,31,66.60,30,62.40,27,59.90,108,64.50,4,0.00
10/12/2021 0:05,17,70.40,25,66.50,25,62.40,23,59.90,90,64.40,4,0.00
10/12/2021 0:10,18,70.50,26,66.60,26,62.40,23,60.00,93,64.50,4,0.00
10/12/2021 0:15,17,70.40,25,66.50,25,62.30,23,59.80,90,64.30,4,0.00
10/12/2021 0:20,11,70.30,20,66.60,19,62.30,17,59.90,67,64.30,4,0.00
10/12/2021 0:25,18,70.30,27,66.70,27,62.40,24,59.90,96,64.50,4,0.00
10/12/2021 0:30,17,70.40,25,66.70,25,62.40,23,59.90,90,64.50,4,0.00
10/12/2021 0:35,16,70.50,26,66.70,23,62.40,20,59.90,85,64.70,4,0.00
10/12/2021 0:40,14,70.40,24,66.60,21,62.40,19,59.90,78,64.50,4,0.00
10/12/2021 0:45,15,70.40,24,66.50,22,62.40,20,59.90,81,64.50,4,0.00
10/12/2021 0:50,18,70.50,30,66.60,29,62.40,26,59.90,103,64.40,4,0.00
10/12/2021 0:55,12,70.40,22,66.50,19,62.40,17,59.90,70,64.40,4,0.00
10/12/2021 1:00,14,70.30,24,66.40,20,62.20,18,59.80,76,64.40,4,0.00
10/12/2021 1:05,12,70.20,22,66.40,18,62.10,16,59.60,68,64.30,4,0.00
10/12/2021 1:10,17,70.30,25,66.50,25,62.30,23,59.70,90,64.30,4,0.00
10/12/2021 1:15,11,70.40,21,66.60,19,62.30,17,59.90,68,64.40,4,0.00
10/12/2021 1:20,13,70.50,23,66.70,19,62.40,17,59.90,72,64.70,4,0.00
10/12/2021 1:25,13,70.50,23,66.80,20,62.50,18,60.00,74,64.60,4,0.00
10/12/2021 1:30,11,70.50,21,66.60,21,62.40,19,60.00,72,64.20,4,0.00
10/12/2021 1:35,11,70.40,21,66.60,18,62.40,16,59.90,66,64.50,4,0.00
10/12/2021 1:40,17,70.50,25,66.60,25,62.40,23,60.00,90,64.50,4,0.00
10/12/2021 1:45,12,70.50,22,66.60,21,62.40,19,60.00,74,64.30,4,0.00
10/12/2021 1:50,16,70.50,26,66.60,25,62.50,22,60.00,89,64.50,4,0.00
10/12/2021 1:55,13,70.50,23,66.60,16,62.40,14,60.00,66,64.90,4,0.00
10/12/2021 2:00,17,70.40,27,66.90,25,62.50,23,59.90,92,64.60,4,0.00
10/12/2021 2:05,16,70.50,25,66.90,25,62.50,22,59.90,88,64.50,4,0.00
10/12/2021 2:10,12,70.40,20,66.70,21,62.40,19,59.90,72,64.30,4,0.00
10/12/2021 2:15,13,70.40,24,66.80,21,62.50,19,59.90,77,64.50,4,0.00
10/12/2021 2:20,15,70.50,25,66.60,25,62.40,22,60.00,87,64.40,4,0.00
10/12/2021 2:25,12,70.40,21,66.60,21,62.30,19,59.80,73,64.20,4,0.00
10/12/2021 2:30,12,70.40,22,66.70,18,62.40,16,59.90,68,64.60,4,0.00
10/12/2021 2:35,13,70.30,23,66.60,22,62.30,20,59.90,78,64.30,4,0.00
10/12/2021 2:40,14,70.40,25,66.60,23,62.40,21,59.90,83,64.40,4,0.00
10/12/2021 2:45,11,70.40,21,66.70,20,62.40,18,59.80,70,64.30,4,0.00
10/12/2021 2:50,11,70.20,20,66.30,20,62.20,18,59.80,69,64.00,4,0.00
10/12/2021 2:55,11,70.30,24,66.40,21,62.30,19,59.90,75,64.20,4,0.00
10/12/2021 3:00,11,70.30,21,66.60,20,62.30,18,59.90,70,64.30,4,0.00
10/12/2021 3:05,9,70.30,23,66.60,16,62.30,15,59.80,63,64.40,4,0.00
10/12/2021 3:10,11,70.30,20,66.70,18,62.40,16,59.80,65,64.40,4,0.00
10/12/2021 3:15,13,70.30,23,66.40,17,62.30,15,59.90,68,64.70,4,0.00
10/12/2021 3:20,12,70.40,22,66.50,21,62.40,19,59.90,74,64.30,4,0.00
10/12/2021 3:25,12,70.20,21,66.40,21,62.30,19,59.60,73,64.10,4,0.00
10/12/2021 3:30,15,70.10,24,66.40,24,62.20,22,59.40,85,64.10,4,0.00
10/12/2021 3:35,12,70.20,26,66.40,21,62.10,19,59.70,78,64.20,4,0.00
10/12/2021 3:40,14,70.30,24,66.40,24,62.20,22,59.70,84,64.10,4,0.00
10/12/2021 3:45,19,70.50,28,66.60,27,62.40,25,59.90,99,64.50,4,0.00
10/12/2021 3:50,15,70.30,31,66.50,25,62.20,22,59.70,93,64.40,4,0.00
10/12/2021 3:55,13,70.40,23,66.60,22,62.30,20,59.90,78,64.30,4,0.00
10/12/2021 4:00,15,70.40,24,66.60,23,62.40,21,59.80,83,64.40,4,0.00
10/12/2021 4:05,18,70.30,28,66.40,24,62.30,22,59.80,92,64.50,4,0.00
10/12/2021 4:10,12,70.30,22,66.50,21,62.30,19,59.90,74,64.20,4,0.00
10/12/2021 4:15,14,70.40,22,66.70,23,62.40,20,59.90,79,64.40,4,0.00
10/12/2021 4:20,19,70.60,30,67.00,25,62.70,22,60.00,96,65.00,4,0.00
10/12/2021 4:25,15,70.50,26,66.60,26,62.40,23,60.00,90,64.30,4,0.00
10/12/2021 4:30,22,70.50,31,66.60,30,62.40,27,59.80,110,64.60,4,0.00
10/12/2021 4:35,29,70.60,38,66.70,36,62.50,32,59.70,135,64.80,4,0.00
10/12/2021 4:40,30,70.60,44,66.80,37,62.50,33,60.00,144,64.90,4,0.00
10/12/2021 4:45,24,70.70,34,66.90,32,62.50,28,60.00,118,64.80,4,0.00
10/12/2021 4:50,28,70.30,37,66.40,35,62.30,32,59.40,132,64.50,4,0.00
