5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 2 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
10/12/2021 0:00,0,2,2,2,100
10/12/2021 0:05,3,2,5,2,100
10/12/2021 0:10,1,5,6,2,100
10/12/2021 0:15,4,6,10,2,100
10/12/2021 0:20,0,4,4,2,100
10/12/2021 0:25,0,5,5,2,100
10/12/2021 0:30,3,5,8,2,100
10/12/2021 0:35,3,9,12,2,100
10/12/2021 0:40,1,0,1,2,100
10/12/2021 0:45,3,4,7,2,100
10/12/2021 0:50,2,4,6,2,100
10/12/2021 0:55,1,5,6,2,100
10/12/2021 1:00,1,2,3,2,100
10/12/2021 1:05,1,1,2,2,100
10/12/2021 1:10,2,3,5,2,100
10/12/2021 1:15,0,5,5,2,100
10/12/2021 1:20,1,3,4,2,100
10/12/2021 1:25,2,2,4,2,100
10/12/2021 1:30,1,2,3,2,100
10/12/2021 1:35,0,3,3,2,100
10/12/2021 1:40,0,2,2,2,100
10/12/2021 1:45,2,0,2,2,100
10/12/2021 1:50,0,2,2,2,100
10/12/2021 1:55,3,2,5,2,100
10/12/2021 2:00,1,3,4,2,100
10/12/2021 2:05,0,2,2,2,100
10/12/2021 2:10,3,2,5,2,100
10/12/2021 2:15,1,1,2,2,100
10/12/2021 2:20,1,3,4,2,100
10/12/2021 2:25,1,2,3,2,100
10/12/2021 2:30,3,3,6,2,100
10/12/2021 2:35,2,2,4,2,100
10/12/2021 2:40,0,4,4,2,100
10/12/2021 2:45,0,5,5,2,100
10/12/2021 2:50,1,2,3,2,100
10/12/2021 2:55,0,1,1,2,100
10/12/2021 3:00,1,2,3,2,100
10/12/2021 3:05,1,3,4,2,100
10/12/2021 3:10,1,3,4,2,100
10/12/2021 3:15,0,1,1,2,100
10/12/2021 3:20,0,0,0,2,100
10/12/2021 3:25,0,1,1,2,100
10/12/2021 3:30,0,1,1,2,100
10/12/2021 3:35,2,3,5,2,100
10/12/2021 3:40,1,0,1,2,100
10/12/2021 3:45,2,0,2,2,100
10/12/2021 3:50,1,4,5,2,100
